Benchmark,nbIterations,NbIndividus,Gain,Temps
601,25,12,89466.124,12.636000000000001
601,15,20,93321.726,17.302
602,15,20,90641.245,15.562000000000001
603,15,20,85111.939,15.082
604,15,20,91173.72100000002,15.283
605,15,20,97355.91999999998,16.212
606,15,20,86919.816,15.408
607,15,20,93457.20899999999,15.387
608,15,20,86817.751,16.29
609,15,20,92165.231,17.049
610,15,20,93940.25400000002,16.943
611,15,20,88496.63,12.513
612,15,20,90199.532,17.868000000000002
613,15,20,87132.482,13.796000000000001
614,15,20,90398.244,13.280000000000001
615,15,20,92051.81499999999,14.531
616,15,20,87954.572,12.811
617,15,20,89872.15600000002,14.986
618,15,20,87497.61399999997,14.167
619,15,20,84796.72499999999,13.33
620,15,20,94906.14199999999,13.732000000000001
621,15,20,91378.17399999998,10.833
622,15,20,86987.24499999998,14.658
623,15,20,93660.037,14.154
624,15,20,90143.856,13.788
625,15,20,82920.05900000001,14.3
626,15,20,95859.123,11.655
627,15,20,95143.96500000001,10.806000000000001
628,15,20,91807.155,15.1
629,15,20,92571.85,13.936
630,15,20,86860.93200000002,15.540000000000001
631,15,20,97811.56099999999,14.832
632,15,20,84530.23799999998,14.298
633,15,20,89952.631,13.762
634,15,20,90766.37000000001,11.325000000000001
635,15,20,87514.139,13.614
636,15,20,89472.40499999998,14.293000000000001
637,15,20,90331.63799999999,14.092
638,15,20,91154.214,13.112
639,15,20,90678.26400000002,12.786
640,15,20,88197.63000000002,13.998000000000001
641,15,20,97587.862,13.717
642,15,20,91247.25000000001,13.803
643,15,20,89503.06899999999,14.305
644,15,20,94474.923,14.107000000000001
645,15,20,95481.955,13.984
646,15,20,93825.04299999999,13.449
647,15,20,88617.624,15.07
648,15,20,88669.962,16.936
649,15,20,92654.765,14.993
650,15,20,89602.83700000001,12.723
651,15,20,83546.37299999999,13.869
652,15,20,88563.42400000001,12.976
653,15,20,93508.45200000002,16.23
654,15,20,90749.21800000001,15.091000000000001
655,15,20,94537.07299999999,13.941
656,15,20,89245.357,14.294
657,15,20,87787.63699999999,12.686
658,15,20,97875.855,12.25
659,15,20,88072.049,12.619
660,15,20,91687.37600000002,15.036
661,15,20,92531.55900000001,15.638
662,15,20,86724.318,14.991
663,15,20,88082.75100000002,13.355
664,15,20,94220.51699999999,14.824
665,15,20,92922.574,13.059000000000001
666,15,20,87772.998,13.824
667,15,20,91509.73900000002,12.428
668,15,20,90015.231,14.602
669,15,20,90165.595,13.488
670,15,20,91220.172,12.043000000000001
671,15,20,87783.64799999999,15.054
672,15,20,85574.679,12.74
673,15,20,95794.46199999998,14.325000000000001
674,15,20,86657.617,15.199
675,15,20,92765.347,11.826
676,15,20,91265.3,12.5
677,15,20,90488.55099999998,14.14
678,15,20,82140.058,13.566
679,15,20,89134.919,11.531
680,15,20,91256.35700000002,11.225
681,15,20,87119.844,14.368
682,15,20,89824.68399999998,12.566
683,15,20,88848.998,12.142
684,15,20,86341.32,14.957
685,15,20,87499.234,14.57
686,15,20,90626.87600000002,14.239
687,15,20,89923.993,14.409
688,15,20,94320.59000000001,14.737
689,15,20,86242.03000000001,14.38
690,15,20,91223.22499999999,11.689
691,15,20,92198.309,12.968
692,15,20,97633.85100000001,14.271
693,15,20,90922.46900000001,13.702
694,15,20,90797.85300000002,15.771
695,15,20,92135.418,16.099
696,15,20,94623.576,14.035
697,15,20,93483.77499999998,11.766
698,15,20,90887.03300000001,14.917
699,15,20,93209.855,15.757
700,15,20,86421.44700000001,12.476
701,15,20,86421.44700000001,12.476
